,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
46381,1,1,0,38.899795000000005,-77.039449,396578.035,136883.229,0,38.899795000000005,-77.039541,2017-04-07 04:00:00+00:00,H ST NW,11042442,46.527613099999996
46424,1,1,0,38.876462,-77.01767,398466.72799999994,134292.479,0,38.876477,-77.01767,2017-07-29 04:00:00+00:00,4TH ST SW,14000402,5.4470363
46435,1,1,0,38.940745,-77.001757,399847.67799999996,141428.305,0,38.940743,-77.001757,2017-07-30 04:00:00+00:00,HAREWOOD RD NE,12043292,106.4909909
46463,1,1,0,38.88332,-77.031941,397228.68100000004,135054.186,0,38.883309999999994,-77.03195,2017-07-30 04:00:00+00:00,14TH ST SW,14001402A,24.307522
46466,1,1,0,38.907472,-77.03027900000001,397373.73799999995,137735.139,0,38.907799,-77.029587,2019-01-03 05:00:00+00:00,N ST NW,11063182,85.98222220000001
46485,1,1,0,38.956809,-77.00225,399805.015,143211.59,0,38.956809,-77.00225,2017-07-30 04:00:00+00:00,RIGGS RD NE,12076052,0.8804245999999999
46728,1,1,0,38.908518,-77.035505,396920.54,137851.419,0,38.908527,-77.034675,2019-06-11 04:00:00+00:00,O ST NW,11065842,21.82
46743,1,1,0,38.875077000000005,-77.005863,399491.27,134138.638,0,38.876451,-77.005953,2018-09-23 04:00:00+00:00,M ST SE,13057852,7.766532799999999
46843,1,1,0,38.898554,-77.031953,397228.18700000003,136745.24599999998,0,38.898554,-77.03192800000001,2017-08-01 04:00:00+00:00,G ST NW,11038612,25.6188165
46888,1,1,0,38.925357,-77.03845,396665.885,139720.802,0,38.925357,-77.03845,2017-08-01 04:00:00+00:00,QUARRY RD NW,11073192,0.8621815
46941,1,1,0,38.915572,-77.032212,397206.44,138634.424,0,38.915703,-77.032212,2018-06-27 04:00:00+00:00,14TH ST NW,11001402,26.7994075
46970,1,1,0,38.902089000000004,-77.023989,397919.154,137137.45,0,38.902089000000004,-77.023989,2018-06-27 04:00:00+00:00,K ST NW,11050892,0.020921900000000004
47054,1,2,0,38.872921000000005,-76.97065500000001,402546.455,133899.687,0,38.873191,-76.971117,2019-05-31 04:00:00+00:00,25TH ST SE & MINNESOTA AVE SE,13002502,18.14
47112,1,2,0,38.91659,-77.029945,397403.03799999994,138747.286,0,38.917018,-77.029635,2017-07-26 04:00:00+00:00,13TH ST NW,11001302,48.0727688
47324,1,2,0,38.920953000000004,-77.004855,399578.94200000004,139231.231,0,38.920953000000004,-77.004921,2017-07-27 04:00:00+00:00,,,-999.0
47377,1,1,0,38.905263,-77.050152,395649.945,137490.698,0,38.90527,-77.050152,2017-07-27 04:00:00+00:00,23RD ST NW,11002302,3.5453619
47433,1,1,0,38.934288,-77.02849599999999,397529.345,140711.878,0,38.934287,-77.028611,2017-07-26 04:00:00+00:00,OTIS PL NW,11067992,33.6250168
47435,1,1,0,38.917004,-77.038472,396663.55,138793.52,0,38.917004,-77.038472,2018-11-04 04:00:00+00:00,17TH ST NW,11001702,0.08
47446,1,1,0,38.900012,-77.009064,399213.756,136906.622,0,38.900012,-77.009118,2017-07-27 04:00:00+00:00,H ST NW,11042442,22.2570896
47487,1,1,0,38.923651,-77.041207,396426.725,139531.495,0,38.923747,-77.041149,2018-06-28 04:00:00+00:00,CHAMPLAIN ST NW,11021842,34.5456627
47488,1,1,0,38.918110999999996,-77.024854,397844.584,138916.014,0,38.918271000000004,-77.02485300000001,2017-07-28 04:00:00+00:00,VERMONT AVE NW,11089442,25.850212699999997
47525,1,1,0,38.956423,-77.022315,398065.843,143168.99,0,38.956421999999996,-77.022373,2017-07-28 04:00:00+00:00,KENNEDY ST NW,11052062,7.2704572
47528,1,1,0,38.909645000000005,-77.027036,397655.1,137976.28,0,38.909620000000004,-77.0271,2019-11-10 05:00:00+00:00,P ST NW,11068382,6.18
47558,1,1,0,38.864963,-76.976478,402041.35299999994,133016.195,0,38.864663,-76.976235,2018-06-27 04:00:00+00:00,GOOD HOPE RD SE,13040752,37.118412899999996
47609,1,1,0,38.892790999999995,-77.01226199999999,398936.215,136105.063,0,38.892761,-77.012226,2017-07-28 04:00:00+00:00,1ST ST NW,11000102,11.813505300000001
47677,1,1,0,38.898481,-76.93167199999999,405927.195,136738.874,0,38.898481,-76.931669,2017-07-28 04:00:00+00:00,NANNIE HELEN BURROUGHS AVE NE,12063252,14.693075899999998
47718,1,1,0,38.900521999999995,-76.94411600000001,404847.6,136964.68,0,38.90041,-76.944123,2017-07-28 04:00:00+00:00,MINNESOTA AVE NE,12061162,23.8290152
47723,1,1,0,38.931185,-77.03271600000001,397163.31899999996,140367.568,0,38.931185,-77.03271600000001,2017-07-28 04:00:00+00:00,MONROE ST NW,11061422,0.022341299999999998
47819,1,1,0,38.906828999999995,-77.032702,397163.55600000004,137663.831,0,38.906789,-77.03238,2017-07-29 04:00:00+00:00,N ST NW,11063182,58.242778799999996
47957,1,1,1,38.972697,-77.03636999999999,396848.355,144975.87,0,38.972318,-77.036276,2019-06-11 04:00:00+00:00,16TH ST NW & ASPEN ST NW,11001602,9.88
48011,1,1,0,38.887504,-77.017547,398477.617,135518.24800000002,0,38.887504,-77.01757099999999,2017-08-04 04:00:00+00:00,INDEPENDENCE AVE SW,14047972,7.754669
48037,1,1,0,38.908181,-76.996935,400265.80600000004,137813.387,0,38.906201,-76.998308,2019-01-08 05:00:00+00:00,FLORIDA AVE NE 1,12036722,4.053892899999999
48044,1,1,0,38.910165,-77.029399,397450.174,138034.068,0,38.90965,-77.029601,2019-01-08 05:00:00+00:00,VERMONT AVE NW,11089442,59.8170505
48061,1,2,0,38.905905,-77.02962099999999,397430.74600000004,137561.13,0,38.905905,-77.029349,2019-01-08 05:00:00+00:00,M ST NW,11057852,37.019907700000005
48130,1,1,0,38.863991,-76.983912,401396.25700000004,132908.09900000002,0,38.864019,-76.984066,2017-08-04 04:00:00+00:00,W ST SE,13090152,21.0966387
48327,1,1,0,38.936285,-77.029725,397422.85,140933.64,0,38.936175,-77.029818,2019-09-13 04:00:00+00:00,13TH ST NW,11001302,14.62
48342,1,1,0,38.902271999999996,-77.017657,398468.383,137157.611,0,38.902271999999996,-77.01778,2017-07-26 04:00:00+00:00,K ST NW,11050892,29.590116899999998
48370,1,1,0,38.932701,-77.026811,397675.349,140535.666,0,38.932697999999995,-77.026836,2017-08-05 04:00:00+00:00,MONROE ST NW,11061422,5.641768900000001
48372,1,1,0,38.895187,-77.003461,399699.756,136371.02,0,38.895234,-77.00343000000001,2017-08-05 04:00:00+00:00,2ND ST NE,12000202,7.573776700000001
48504,1,1,0,38.904163,-77.019898,398274.052,137367.579,0,38.904163,-77.019898,2017-04-21 04:00:00+00:00,L ST NW,11053492,0.019359599999999998
48604,1,1,0,38.952906,-77.02757199999999,397610.05,142778.66,0,38.952906,-77.02757199999999,2019-01-10 05:00:00+00:00,HAMILTON ST NW,11042902,0.030475400000000003
48664,1,1,0,38.886556,-76.99496500000001,400436.8,135412.923,0,38.886556,-76.995228,2019-01-10 05:00:00+00:00,C ST SE 1,13019822,62.026318
48667,1,1,0,38.901844,-77.059108,394872.91299999994,137111.669,0,38.901841,-77.059274,2017-04-21 04:00:00+00:00,K ST NW,11050892,81.89146290000001
48699,1,1,0,38.880284,-77.021901,398099.714,134716.87300000002,0,38.878593,-77.022917,2019-01-11 05:00:00+00:00,MAINE AVE SW,14058502,17.01239
48823,1,1,0,38.909015999999994,-77.013661,398815.166,137906.182,0,38.909024,-77.013136,2017-08-06 04:00:00+00:00,,,-999.0
48840,1,1,0,38.902462,-77.009064,399213.776,137178.62300000002,0,38.902462,-77.009126,2019-06-12 04:00:00+00:00,K ST NW & NORTH CAPITOL ST BN,11050892,7.92
49063,1,1,0,38.899025,-77.040061,396524.939,136797.766,0,38.899052000000005,-77.04004499999999,2017-08-01 04:00:00+00:00,17TH ST NW,11001702,56.6388031
49068,1,1,0,38.942797999999996,-77.019827,398281.19299999997,141656.391,0,38.942825,-77.01977099999999,2017-08-01 04:00:00+00:00,VARNUM ST NW,11089112,35.3301593
49120,1,1,0,38.909104,-77.005886,399489.48799999995,137915.862,0,38.909104,-77.005976,2017-08-02 04:00:00+00:00,FLORIDA AVE NE,12036722,38.9601479
49201,1,1,0,38.911877000000004,-77.038446,396665.601,138223.59,0,38.911877000000004,-77.038446,2017-08-01 04:00:00+00:00,17TH ST NW,11001702,3.4695308
49280,1,1,0,38.905238,-77.058109,394959.75,137488.32,0,38.905238,-77.058109,2019-10-18 04:00:00+00:00,29TH ST NW & M ST NW,11002902,0.05
49349,1,1,0,38.909637,-77.008011,399305.231,137975.131,0,38.909757,-77.04975300000001,2017-08-02 04:00:00+00:00,P ST NW,11068382,92.33058340000001
49351,1,1,0,38.919488,-76.978223,401888.52,139068.772,0,38.919745,-76.979029,2019-01-05 05:00:00+00:00,MONTANA AVE NE & W ST NE,12061552,16.71
49410,1,1,0,38.904175,-77.054012,395315.047,137370.104,0,38.903959,-77.054023,2018-06-28 04:00:00+00:00,L ST NW,11053492,24.02
49444,1,1,0,38.924376,-77.04074200000001,396467.12799999997,139611.97400000002,0,38.923914,-77.040964,2019-01-06 05:00:00+00:00,COLUMBIA RD NW,11024632,48.6655102
49478,1,1,0,38.903741,-77.04001099999999,396529.45200000005,137321.296,0,38.903741,-77.04001099999999,2017-08-02 04:00:00+00:00,L ST NW,11053492,0.8813040999999999
49479,1,1,0,38.900701,-77.044974,396098.80299999996,136984.087,0,38.900653999999996,-77.04496999999999,2017-08-02 04:00:00+00:00,20TH ST NW,11002002,8.815841800000001
49509,1,1,0,38.896128999999995,-77.015167,398684.287,136475.642,0,38.896122,-77.015167,2017-08-02 04:00:00+00:00,3RD ST NW,11000302,2.4263132
49614,1,1,0,38.898931,-77.039794,396548.06299999997,136787.395,0,38.898842,-77.039477,2018-07-05 04:00:00+00:00,17TH ST NW,11001702,3.4797635000000002
49622,1,1,0,38.917714000000004,-77.09622399999999,391655.258,138876.08,0,38.917434,-77.09595999999999,2019-01-06 05:00:00+00:00,MACARTHUR BLVD NW,11057912,62.8731666
49992,1,1,1,38.902958,-77.06959,393963.742,137235.964,0,38.904396999999996,-77.06926899999999,2019-01-07 05:00:00+00:00,WATER ST NW,11091452,34.743079200000004
50070,1,1,0,38.899063,-77.028228,397551.36299999995,136801.609,0,38.899086,-77.028228,2018-04-03 04:00:00+00:00,12TH ST NW,11001202,12.967483300000001
50218,1,1,0,38.912608,-77.045277,396073.224,138305.816,0,38.912521999999996,-77.045278,2017-08-10 04:00:00+00:00,CONNECTICUT AVE NW,11025152,14.089789499999998
50228,1,1,0,38.912387,-77.009049,399215.214,138280.369,0,38.912387,-77.00898199999999,2017-08-10 04:00:00+00:00,R ST NW,11074162,24.3860848
50230,1,1,0,38.918112,-77.031853,397237.649,138916.326,0,38.918112,-77.031853,2017-08-10 04:00:00+00:00,14TH ST NW,11001402,8.6094024
50254,1,1,0,38.932418,-76.99261800000001,400640.061,140503.927,0,38.932417,-76.992634,2017-08-10 04:00:00+00:00,MONROE ST NE,12061422,4.7625926
50396,1,1,0,38.929157000000004,-77.031975,397227.513,140142.389,0,38.929134000000005,-77.031975,2017-08-10 04:00:00+00:00,KENYON ST NW,11052322,65.191025
50455,1,1,0,38.859224,-76.995239,400413.237,132378.843,0,38.859212,-76.99520799999999,2017-08-11 04:00:00+00:00,STANTON RD SE,13082352,10.220264300000002
50478,1,1,0,38.902939,-77.021919,398098.734,137231.76,0,38.902939,-77.021919,2018-04-26 04:00:00+00:00,MT VERNON PL NW,11062592,0.0187937
50481,1,1,0,38.903123,-77.032395,397190.07899999997,137252.421,0,38.903307,-77.032093,2017-08-11 04:00:00+00:00,14TH ST NW,11001402,38.6062372
50543,1,1,0,38.909652,-77.033565,397088.79799999995,137977.25,0,38.909496000000004,-77.03369599999999,2017-08-11 04:00:00+00:00,15TH ST NW,11001502,76.5605649
50568,1,1,0,38.90511,-77.066041,394271.75,137474.633,0,38.90511,-77.066041,2019-01-16 05:00:00+00:00,33RD ST NW,11003302,0.0130936
50629,1,1,0,38.918815,-76.955771,403835.55600000004,138994.822,0,38.918827,-76.95575799999999,2017-08-12 04:00:00+00:00,V ST NE,12088462,20.5105807
50763,1,1,0,38.887567,-77.015178,398683.17299999995,135525.21300000002,0,38.887567,-77.015178,2017-08-11 04:00:00+00:00,INDEPENDENCE AVE SW,14047972,0.0797211
50792,1,1,0,38.905481,-77.01026800000001,399109.406,137513.75,0,38.905573,-77.009436,2018-09-25 04:00:00+00:00,M ST NW,11057852,72.673348
50803,1,1,0,38.927614,-77.027245,397637.584,139970.97,0,38.927623,-77.027181,2017-08-12 04:00:00+00:00,COLUMBIA RD NW,11024632,14.450772800000001
50808,1,1,0,38.914029,-77.039334,396588.677,138463.334,0,38.914014,-77.03930799999999,2017-08-12 04:00:00+00:00,S ST NW,11077672,9.074771
51060,1,1,0,38.923805,-77.040266,396508.36,139548.581,0,38.923813,-77.040027,2019-07-23 04:00:00+00:00,ONTARIO RD NW,11067402,22.98
51079,1,1,0,38.925484000000004,-77.00057,399950.55,139734.199,0,38.925484000000004,-77.00051500000001,2017-08-07 04:00:00+00:00,FRANKLIN ST NE,12038092,12.8175261
51095,1,1,0,38.899352,-77.021916,398098.939,136833.533,0,38.899361,-77.021904,2019-01-11 05:00:00+00:00,H ST NW,11042442,50.1987269
51167,1,1,0,38.916721,-77.031359,397280.43799999997,138761.908,0,38.916721,-77.031639,2017-08-07 04:00:00+00:00,U ST NW,11087232,39.2458811
51253,1,1,0,38.900369,-77.01674,398547.956,136946.407,0,38.900259999999996,-77.016801,2017-08-08 04:00:00+00:00,4TH ST NW,11000402,53.129506000000006
51304,1,1,0,38.902516999999996,-77.012017,398957.635,137184.712,0,38.902502,-77.012017,2017-08-08 04:00:00+00:00,1ST ST NW,11000102,13.4607193
51337,1,1,0,38.914836,-77.045395,396063.091,138553.155,0,38.914502,-77.045802,2019-07-23 04:00:00+00:00,FLORIDA AVE NW,11036722,34.4
51512,1,1,1,38.915574,-77.041658,396387.219,138634.95,0,38.915574,-77.041658,2017-08-09 04:00:00+00:00,T ST NW,11084562,0.0148559
51528,1,1,0,38.918402,-77.02441,397883.166,138948.27800000002,0,38.918305,-77.024449,2017-08-09 04:00:00+00:00,VERMONT AVE NW,11089442,11.2225414
51564,1,1,0,38.905766,-77.03262,397170.665,137545.858,0,38.905787,-77.032604,2017-08-09 04:00:00+00:00,M ST NW,11057852,22.098253
51577,1,1,0,38.905543,-76.995091,400425.81,137520.644,0,38.904516,-76.99421099999999,2017-08-09 04:00:00+00:00,8TH ST NE,12000802,65.33838639999999
51581,1,1,0,38.885065000000004,-77.0093,399193.07899999997,135247.448,0,38.885219,-77.0093,2017-08-09 04:00:00+00:00,D ST SE,13026912,26.181504
51715,1,1,0,38.905646999999995,-77.03456899999999,397001.56299999997,137532.695,0,38.905646999999995,-77.03456899999999,2017-01-24 05:00:00+00:00,M ST NW,11057852,0.07621789999999999
51801,1,1,0,38.905646000000004,-77.022196,398074.82899999997,137532.271,0,38.905609999999996,-77.022196,2017-08-09 04:00:00+00:00,7TH ST NW,11000702,24.7286184
51830,1,1,0,38.904983,-77.029622,397430.64700000006,137458.803,0,38.904982000000004,-77.029439,2017-08-10 04:00:00+00:00,MASSACHUSETTS AVE NW,11059602,22.8593143
51857,1,1,0,38.915729,-77.095101,391752.375,138655.60199999998,0,38.915753,-77.09509200000001,2017-08-09 04:00:00+00:00,MACARTHUR BLVD NW,11057912,38.3667062
51947,1,1,0,38.931119,-77.007851,399319.3,140359.77,0,38.931135999999995,-77.007857,2017-08-09 04:00:00+00:00,IRVING ST NW,11048752,35.8423407
51957,1,1,0,38.872078,-76.973186,402326.826,133806.059,0,38.872078,-76.97325,2017-08-09 04:00:00+00:00,MINNESOTA AVE SE,13061162,16.0102532
52156,1,1,0,38.922858000000005,-77.034666,396993.93,139443.24300000002,0,38.922333,-77.035049,2019-04-28 04:00:00+00:00,EUCLID ST NW 1,11033862,128.4375767
52268,1,1,0,38.931307000000004,-77.02786400000001,397583.99,140380.956,0,38.931139,-77.028068,2018-08-09 04:00:00+00:00,11TH ST NW 1,11001102,14.688950400000001
52282,1,1,0,38.922616,-77.042755,396292.474,139416.72,0,38.922585,-77.042722,2017-08-13 04:00:00+00:00,18TH ST NW,11001802,9.0267651
52312,1,1,0,38.894811,-77.017549,398477.584,136329.37900000002,0,38.894838,-77.017561,2018-08-09 04:00:00+00:00,5TH ST NW,11000502,119.2124862
52329,1,1,0,38.911962,-77.02294300000001,398010.2,138233.421,0,38.911962,-77.02294300000001,2017-08-13 04:00:00+00:00,RHODE ISLAND AVE NW,11075462,0.04
52415,1,1,0,38.903742,-77.038749,396638.9,137321.404,0,38.903583000000005,-77.041911,2017-08-14 04:00:00+00:00,17TH ST NW,11001702,27.331538300000002
52501,1,1,0,38.902664,-77.06275600000001,394556.479,137202.862,0,38.902664,-77.06275699999999,2017-08-13 04:00:00+00:00,K ST NW,11050892,7.3477532000000005
52512,1,1,0,38.921882000000004,-77.041888,396367.55,139335.219,0,38.921769,-77.042323,2019-01-18 05:00:00+00:00,COLUMBIA RD NW,11024632,144.1454274
52692,1,1,0,38.913621,-76.982191,401544.544,138417.461,0,38.913616,-76.982196,2017-08-15 04:00:00+00:00,WEST VIRGINIA AVE NE,12092622,1.9336631999999998
52704,1,1,0,38.904225,-76.992848,400620.36,137374.292,0,38.904164,-76.99277,2017-08-15 04:00:00+00:00,FLORIDA AVE NE,12036722,36.5153646
52858,1,1,0,38.905362,-77.014776,398718.38,137500.571,0,38.905362,-77.014776,2019-08-27 04:00:00+00:00,NEW YORK AVE NW,11064672,0.06
53026,1,1,0,38.926894,-76.96305799999999,403203.271,139891.369,0,38.927025,-76.963234,2017-08-15 04:00:00+00:00,CENTRAL AVE NE,12021582,39.0003878
53149,1,1,0,38.905262,-77.05055300000001,395615.203,137490.617,0,38.905004999999996,-77.050552,2019-09-09 04:00:00+00:00,M ST NW,11057852,47.92
53176,1,1,0,38.920094,-77.041286,396419.684,139136.705,0,38.920059,-77.041473,2017-10-12 04:00:00+00:00,KALORAMA RD NW,11051152,42.032138200000006
53233,1,1,0,38.877701,-76.962243,403276.24600000004,134430.557,0,38.877720000000004,-76.96204300000001,2019-01-20 05:00:00+00:00,RANDLE CIR SE,13074492,10.0980379
53297,1,1,0,38.926190000000005,-77.033091,397130.631,139813.076,0,38.926575,-77.032439,2017-08-16 04:00:00+00:00,HARVARD ST NW 1,11043742,60.248604099999994
53313,1,1,0,38.904792,-77.01643,398574.91299999994,137437.30800000002,0,38.904691,-77.016372,2017-08-16 04:00:00+00:00,4TH ST NW,11000402,26.6683848
53384,1,1,0,38.897775,-76.97001999999999,402600.641,136658.733,0,38.897613,-76.970069,2017-08-16 04:00:00+00:00,26TH ST NE,12002602,39.007236400000004
53424,1,1,0,38.823793,-77.005688,399506.102,128445.79400000001,0,38.823759,-77.005735,2017-08-17 04:00:00+00:00,1ST ST SW,14000102,9.1069015
53531,1,1,0,38.887565,-77.016189,398595.427,135525.01,0,38.886998999999996,-77.016193,2019-06-14 04:00:00+00:00,MARYLAND AVE SW,14059472,71.55
53590,1,1,0,38.928646,-77.036477,396837.14700000006,140085.834,0,38.928646,-77.03650400000001,2017-08-17 04:00:00+00:00,IRVING ST NW,11048752,5.1749292
53708,1,1,0,38.902236,-77.005888,399489.30600000004,137153.548,0,38.902392,-77.005774,2019-01-18 05:00:00+00:00,K ST NE,12050892,16.8152375
53884,1,1,0,38.895509000000004,-77.021917,398098.732,136406.953,0,38.895509000000004,-77.021895,2017-08-17 04:00:00+00:00,E ST NW,11031332,69.16411090000001
53938,1,1,0,38.933172,-76.99104799999999,400776.148,140587.69,0,38.933161,-76.991289,2019-01-23 05:00:00+00:00,NEWTON ST NE,12064612,44.4881688
53990,1,1,0,38.910727,-77.009051,399215.00899999996,138096.087,0,38.910727,-77.009025,2017-08-18 04:00:00+00:00,FLORIDA AVE NW,11036722,8.7361573
54110,1,1,0,38.875818,-77.012813,398888.131,134220.932,0,38.875911,-77.01383,2019-01-19 05:00:00+00:00,1ST ST SW,14000102,144.84340419999998
54273,1,1,0,38.94316,-77.08142,392941.59,141699.53,0,38.94316,-77.08142,2019-10-01 04:00:00+00:00,VAN NESS ST NW,11088922,0.04
54298,1,1,0,38.904216,-77.058084,394961.898,137374.84,0,38.904329,-77.058079,2019-10-01 04:00:00+00:00,29TH ST NW,11002902,54.38
54316,1,1,0,38.940729,-76.995705,400372.357,141426.53699999998,0,38.940725,-76.995705,2019-01-23 05:00:00+00:00,7TH ST NE,12000702,2.12
54382,1,1,0,38.906456,-76.998855,400099.285,137621.93099999998,0,38.906514,-76.998814,2019-01-23 05:00:00+00:00,6TH ST NE,12000602,52.06
54392,1,1,0,38.928746000000004,-77.03763199999999,396737.001,140096.973,0,38.928896,-77.037622,2017-08-19 04:00:00+00:00,MOUNT PLEASANT ST NW,11062532,29.6642434
54443,1,1,0,38.901839,-76.94153100000001,405071.698,137111.06900000002,0,38.901941,-76.942441,2019-08-10 04:00:00+00:00,NANNIE HELEN BURROUGHS AVE NE & MARVIN GAYE TRAIL NE,12063252,14.65
54616,1,2,0,38.916075,-77.031953,397228.92299999995,138690.22,0,38.916075,-77.031917,2017-08-20 04:00:00+00:00,WALLACH PL NW,11090542,24.838563699999998
54725,1,1,0,38.892661,-77.019901,398273.527,136090.742,0,38.892661,-77.019922,2017-08-21 04:00:00+00:00,PENNSYLVANIA AVE NW,11069812,11.8377857
54869,1,1,0,38.896132,-77.021917,398098.71,136476.114,0,38.896132,-77.021917,2018-04-05 04:00:00+00:00,E ST NW,11031332,0.029921299999999998
54915,1,1,0,38.900199,-77.038375,396671.224,136928.033,0,38.900138,-77.039689,2018-05-14 04:00:00+00:00,H ST NW,11042442,22.28
55030,1,1,0,38.90252,-77.016176,398596.88,137185.08,0,38.90252,-77.016176,2019-09-10 04:00:00+00:00,K ST NW,11050892,0.09
55052,1,1,0,38.922568,-77.029708,397423.86600000004,139410.93099999998,0,38.922568,-77.029818,2017-08-22 04:00:00+00:00,CLIFTON ST NW,11024112,17.6771732
55224,1,1,0,38.910385,-77.038487,396661.95,138058.76,0,38.910385,-77.038487,2019-01-26 05:00:00+00:00,CHURCH ST NW,11023402,0.0690459
55253,1,1,0,38.898356,-76.93168,405926.518,136725.038,0,38.898363,-76.931753,2017-08-22 04:00:00+00:00,GRANT ST NE,12041472,6.2204266
55368,1,1,0,38.881144,-76.99153299999999,400734.67100000003,134812.12099999998,0,38.881144,-76.99159399999999,2018-04-05 04:00:00+00:00,G ST SE,13038612,14.6612027
55480,1,1,0,38.8908,-77.01248199999999,398917.13,135884.07,0,38.890796,-77.012821,2017-08-22 04:00:00+00:00,PENNSYLVANIA AVE NW,11069812,23.760207
55527,1,1,0,38.867499,-76.98869499999999,400981.11799999996,133297.511,0,38.867512,-76.98867,2017-08-23 04:00:00+00:00,MARTIN LUTHER KING JR AVE SE,13059452,11.2702375
55683,1,1,0,38.905208,-77.058003,394968.92600000004,137485.035,0,38.905194,-77.05801,2017-08-23 04:00:00+00:00,29TH ST NW,11002902,9.873250500000001
55725,1,2,0,38.962042,-77.033425,397103.14,143793.03,0,38.961991,-77.033353,2017-08-23 04:00:00+00:00,MILITARY RD NW,11060642,8.4010901
55856,1,1,0,38.899357,-77.05451500000001,395271.148,136835.279,0,38.899345000000004,-77.054526,2017-08-24 04:00:00+00:00,25TH ST NW,11002502A,76.06264959999999
55980,1,1,0,38.925684000000004,-77.03233399999999,397197.76,139736.68,0,38.925684000000004,-77.032331,2018-04-09 04:00:00+00:00,GIRARD ST NW,11040432,6.44311
56098,1,2,0,38.916290999999994,-77.031952,397229.031,138714.165,0,38.916290999999994,-77.031994,2017-08-27 04:00:00+00:00,WALLACH PL NW,11090542,3.6854409
56116,1,1,0,38.89958,-77.015225,398679.32200000004,136858.714,0,38.899581,-77.015116,2019-09-16 04:00:00+00:00,3RD ST NW & MASSACHUSETTS AVE NW & MASSACHUSETTS AVE NW,11000302,25.79
56128,1,1,0,38.897988,-77.0075,399349.43,136681.96,0,38.897431,-77.008839,2019-09-11 04:00:00+00:00,MASSACHUSETTS AVE NE & NORTH CAPITOL ST BN,12059602,20.01
56235,1,2,0,38.908713,-77.043935,396189.331,137873.408,0,38.908852,-77.043782,2019-01-31 05:00:00+00:00,NEW HAMPSHIRE AVE NW,11064222,35.053830299999994
56253,1,2,0,38.911615000000005,-77.023967,397921.364,138194.941,0,38.911615000000005,-77.023967,2019-01-31 05:00:00+00:00,RHODE ISLAND AVE NW,11075462,0.0175588
56411,1,1,0,38.959877,-77.033426,397102.969,143552.656,0,38.959877,-77.033376,2017-08-28 04:00:00+00:00,MANCHESTER LN NW,11058562,27.2701533
56563,1,1,0,38.915586,-77.012961,398875.94700000004,138635.465,0,38.915656,-77.012952,2017-08-28 04:00:00+00:00,RHODE ISLAND AVE NW,11075462,27.520331899999995
56575,1,1,0,38.916447999999995,-77.040082,396523.901,138731.906,0,38.916447999999995,-77.040145,2019-02-01 05:00:00+00:00,WILLARD ST NW,11093402,18.495717000000003
56590,1,1,0,38.902615999999995,-76.992642,400638.24799999996,137195.642,0,38.902615000000004,-76.992562,2017-08-28 04:00:00+00:00,K ST NE,12050892,13.536671599999998
56929,1,1,0,38.928482,-77.029708,397424.06,140067.423,0,38.928482,-77.02975699999999,2018-04-06 04:00:00+00:00,IRVING ST NW,11048752,17.4977088
57147,1,1,0,38.899814,-77.022038,398088.354,136884.821,0,38.899753000000004,-77.022038,2017-08-24 04:00:00+00:00,7TH ST NW,11000702,12.627327000000001
57322,1,1,0,38.906337,-77.013654,398815.724,137608.802,0,38.906321999999996,-77.014521,2017-08-25 04:00:00+00:00,MORGAN ST NW,11061882,76.9128528
57424,1,1,0,38.939738,-77.03644399999999,396840.49600000004,141317.14,0,38.939738,-77.03644399999999,2018-09-27 04:00:00+00:00,SHEPHERD ST NW,11079562,0.0493651
57461,1,2,0,38.920640999999996,-77.022013,398091.096,139196.814,0,38.92062,-77.022254,2017-08-25 04:00:00+00:00,BARRY PL NW,11013652,41.662351799999996
57576,1,1,0,38.917002000000004,-77.035569,396915.32399999996,138793.208,0,38.916954,-77.035583,2017-08-25 04:00:00+00:00,16TH ST NW,11001602,79.04034279999999
57659,1,1,0,38.909638,-77.043438,396232.50299999997,137976.022,0,38.90916,-77.043761,2019-06-14 04:00:00+00:00,NEW HAMPSHIRE AVE NW,11064222,13.0
57697,1,1,0,38.94628,-77.079388,393118.073,142045.736,0,38.946529,-77.07916800000001,2019-10-04 04:00:00+00:00,WISCONSIN AVE NW,11094052,24.44
57905,1,1,0,38.922765000000005,-77.042527,396312.209,139433.25199999998,0,38.922627,-77.042377,2017-08-27 04:00:00+00:00,18TH ST NW,11001802,26.905694699999998
57938,1,2,0,38.945068,-77.025975,397748.219,141908.478,0,38.945004,-77.026459,2019-08-10 04:00:00+00:00,GEORGIA AVE NW,11040042,12.31
58020,1,2,0,38.902519,-77.033632,397082.769,137185.37900000002,0,38.902507,-77.03457399999999,2018-09-28 04:00:00+00:00,K ST NW,11050892,1.2720571000000003
58117,1,1,0,38.879287,-77.009732,399155.55799999996,134606.006,0,38.879255,-77.009744,2019-10-25 04:00:00+00:00,I ST SW & Ramp-36004952 & I ST SE,13047772,59.59
58410,1,1,0,38.937079,-77.03273,397162.33,141021.81,0,38.937208,-77.03273399999999,2017-08-30 04:00:00+00:00,SPRING RD NW,11081832,14.404126399999999
